"Number of runs","Open centers","Full centers","Trainees currently training","Trainees on the waiting list"
"1","11","1","153","123"
"2","23","1","153","123"
"3","35","1","153","123"
"4","47","1","153","123"
"5","59","1","153","123"
"6","71","1","153","123"
"7","83","1","153","123"
"8","95","1","153","123"
"9","107","1","153","123"
"10","119","1","153","123"
