"Number of runs","Open centers","Full centers","Trainees currently training","Trainees on the waiting list"
"1","11","1","164","95"
"2","23","1","164","95"
"3","35","1","164","95"
"4","47","1","164","95"
"5","59","1","164","95"
"6","71","1","164","95"
"7","83","1","164","95"
"8","95","1","164","95"
"9","107","1","164","95"
"10","119","1","164","95"
